# Test Cases: Event Countdown Timer (000-countdown)

Author-oriented test cases. All steps can be performed by a content author in the document-based authoring environment (Word, Google Docs, or da.live) and on the published site.

---

ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
"","Test Case","Countdown | Author can create a Countdown block in the document editor",,,,"Consumer Platforms\Adobe Experience Manager (AEM)","","Design"
,,,"1","Open a page document in the authoring environment (Word, Google Docs, or da.live)","Page document is open and editable",,,
,,,"2","Create a table with ""Countdown"" as the text in the first merged row","A table is created with the block header ""Countdown""",,,
,,,"3","Add a row with ""Date"" in the left cell and ""2026-10-12T14:00:00"" in the right cell","Date row is added to the table",,,
,,,"4","Add a row with ""Timezone"" in the left cell and ""Europe/London"" in the right cell","Timezone row is added to the table",,,
,,,"5","Preview the page using Sidekick","Page preview loads in the browser",,,
,,,"6","Locate the Countdown block on the previewed page","A Countdown block is rendered with a live timer counting down to the configured date",,,
"","Test Case","Countdown | Block renders correctly with only required fields (Date and Timezone)",,,,"Consumer Platforms\Adobe Experience Manager (AEM)","","Design"
,,,"1","Create a Countdown block table with two rows: Date set to a future date/time (e.g. ""2026-12-31T23:59:59"") and Timezone set to ""America/New_York""","Countdown block table with only required fields is ready",,,
,,,"2","Preview the page using Sidekick","Page preview loads",,,
,,,"3","Verify the block displays a countdown timer with four units","Four countdown units are visible showing days, hours, minutes, and seconds",,,
,,,"4","Check the labels beneath each unit","Labels read ""DAYS"", ""HOURS"", ""MINUTES"", ""SECONDS""",,,
,,,"5","Verify no additional elements are displayed","No pretitle, title, button, milestones, or background image are visible",,,
"","Test Case","Countdown | Block renders with variant in table header",,,,"Consumer Platforms\Adobe Experience Manager (AEM)","","Design"
,,,"1","Create a table with ""Countdown (spacing-large)"" as the header row","Block table with spacing variant is created",,,
,,,"2","Add required Date (future) and Timezone rows with valid values","Table has all required fields",,,
,,,"3","Preview the page using Sidekick","Page preview loads",,,
,,,"4","Verify the block renders a countdown timer","Countdown timer is displayed and ticking",,,
,,,"5","Check the spacing below the block","A visibly large amount of bottom spacing is applied below the Countdown block",,,
"","Test Case","Countdown | Timer updates every second",,,,"Consumer Platforms\Adobe Experience Manager (AEM)","","Design"
,,,"1","Open a page containing a Countdown block configured with a future date at least several minutes away","Page loads with a visible countdown timer",,,
,,,"2","Observe the seconds value displayed in the countdown","A seconds value is shown (e.g. 45)",,,
,,,"3","Wait approximately 5 seconds while watching the seconds display","The seconds value decreases by approximately 5 (e.g. from 45 to 40)",,,
,,,"4","Continue observing for another 5 seconds","The seconds value continues to decrease each second without pausing or jumping",,,
"","Test Case","Countdown | Timer shows correct remaining time in days, hours, minutes, and seconds",,,,"Consumer Platforms\Adobe Experience Manager (AEM)","","Design"
,,,"1","Create a Countdown block with Date set to exactly 2 days from now at 15:00 and Timezone matching your local timezone","Countdown block table is created",,,
,,,"2","Preview the page","Countdown block renders",,,
,,,"3","Verify the days display shows approximately ""02""","Days shows ""02"" (or ""01"" if close to crossover)",,,
,,,"4","Verify the hours, minutes, and seconds displays show plausible values consistent with the time remaining","Hours, minutes, and seconds values are reasonable and counting down",,,
"","Test Case","Countdown | Timer freezes at zero when event time arrives",,,,"Consumer Platforms\Adobe Experience Manager (AEM)","","Design"
,,,"1","Create a Countdown block with Date and Timezone set to approximately 1 minute in the future","Block table is created with an imminent target time",,,
,,,"2","Preview the page and observe the timer counting down","Timer is ticking down toward zero",,,
,,,"3","Wait until the target time passes","Timer reaches 00 for all four units",,,
,,,"4","Verify the display shows ""00"" for days, hours, minutes, and seconds","All four units display ""00""",,,
,,,"5","Wait an additional 10 seconds","Timer remains at 00 : 00 : 00 : 00 and does not change",,,
"","Test Case","Countdown | Timer calculates correctly using the authored timezone",,,,"Consumer Platforms\Adobe Experience Manager (AEM)","","Design"
,,,"1","Create a Countdown block with Date set to ""2026-10-12T14:00:00"" and Timezone set to ""Europe/London""","Block table is created with London timezone",,,
,,,"2","Preview the page","Countdown block renders",,,
,,,"3","Manually calculate the expected remaining time from now until 14:00 London time on the target date","Expected remaining time is known",,,
,,,"4","Compare the displayed countdown against your manual calculation","The displayed countdown matches the expected remaining time (within a few seconds tolerance)",,,
"","Test Case","Countdown | Default labels display when no label overrides are authored",,,,"Consumer Platforms\Adobe Experience Manager (AEM)","","Design"
,,,"1","Create a Countdown block with only Date (future) and Timezone rows — no label rows","Block table is created without label overrides",,,
,,,"2","Preview the page","Countdown block renders",,,
