---
This file is a **format template** for `testcases.csv`. Replace the sample test cases with rows derived from your feature `spec.md`.
**Placeholders** like [STORY NAME] must be replaced. Do **not** ship illustrative examples as final QA tests.
Sample steps illustrate **AEM Edge Delivery** authoring (Google Docs/SharePoint, Document Authoring, Sidekick preview) — not classic AEM page editor or dialogs.
---

# Test Cases: [STORY NAME] ([STORY NUMBER])

Author-oriented cases: executable in the **content source** (document or DA) and verifiable on **preview** (`*.aem.page`) or **live** (`*.aem.live`). No DevTools, no repo paths, no block JS/CSS filenames in steps.

---

ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
"","Test Case","[Block / feature] | Author adds the block and required content shows on preview",,,,"Edge Delivery Services","","Design"
,,,"1","Open the test page document (or DA page) where the block is authored","Document is open with edit access",,,
,,,"2","Insert a block table; in the first cell enter the block name exactly as defined for this feature (see spec)","Block table row exists with correct block name",,,
,,,"3","Fill required cells/rows per the content model (see spec or data-model.md)","All required cells contain authored content",,,
,,,"4","Preview via Sidekick or DA (or open branch preview URL for the draft path)","Preview loads without error",,,
,,,"5","On preview, find the block on the page","Visible content matches what was authored (headings, text, media as applicable)",,,
"","Test Case","[Block / feature] | Block option in parentheses applies the expected variant on preview",,,,"Edge Delivery Services","","Design"
,,,"1","Add the same block type with a documented variant: block name plus option in parentheses on the same line (e.g. per spec)","Variant appears in the block table as authored",,,
,,,"2","Preview the page","Page renders with layout or styling that matches the variant (observable difference from default)",,,
,,,"3","Change to another documented variant (or remove the option) and preview again","Preview updates to match the new variant or default",,,
"","Test Case","[Block / feature] | Responsive behaviour matches spec at key widths",,,,"Edge Delivery Services","","Design"
,,,"1","Open preview at a width where the spec requires a multi-column (or side-by-side) layout","Layout matches spec at desktop/tablet width (author-visible)",,,
,,,"2","Resize the preview viewport to mobile width per spec (or use a narrow browser window)","Layout stacks or reflows as specified; no horizontal scroll for normal content",,,
"","Test Case","[Block / feature] | Published or production URL matches preview",,,,"Edge Delivery Services","","Design"
,,,"1","Publish (or use the published URL) for the test page that includes this block","Publish completes or published URL is available",,,
,,,"2","Open the published page in a normal browser session","Block content and variants appear the same as on preview (no missing block)",,,
"","Test Case","[Block / feature] | Optional / edge authoring per spec (e.g. empty optional cell)",,,,"Edge Delivery Services","","Design"
,,,"1","Author the block leaving one optional cell empty as allowed by the spec","Document saves with empty optional cell",,,
,,,"2","Preview the page","No broken layout; optional content is omitted or default applies as specified",,,
